	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp						
mission.Pirates_Shedu_Elimination1.objective0	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.	<color=#FFFEC1>Задача:</color> Уничтожить <color=#FFFEC1>герцога</color> квазиморфной фракции %VICTIM_NAME%.	<color=#FFFEC1>Aufgabe:</color> Den <color=#FFFEC1>Herzog</color> der quasimorphischen Fraktion %VICTIM_NAME% eliminieren.	<color=#FFFEC1>Tâche :</color> Éliminer le <color=#FFFEC1>Duc</color> de la faction quasimorphique %VICTIM_NAME%.	<color=#FFFEC1>Tarea:</color> Eliminar al <color=#FFFEC1>duque</color> de la facción quasimórfica %VICTIM_NAME%.	<color=#FFFEC1>Zadanie:</color> Zlikwidować <color=#FFFEC1>księcia</color> frakcji kwazimorficznej %VICTIM_NAME%.	<color=#FFFEC1>Görev:</color> %VICTIM_NAME% kuazimorfik fraksiyonunun <color=#FFFEC1>Dükünü</color> ortadan kaldırın.	<color=#FFFEC1>Tarefa:</color> Eliminar o <color=#FFFEC1>duque</color> da facção quasimórfica %VICTIM_NAME%.	<color=#FFFEC1>임무:</color> %VICTIM_NAME% 준형성 분파의 <color=#FFFEC1>공작</color>을 제거하십시오.	<color=#FFFEC1>タスク：</color>%VICTIM_NAME%のクアージモーフォーシス勢力の<color=#FFFEC1>公爵</color>を排除する。	<color=#FFFEC1>任务：</color>消灭 %VICTIM_NAME% 的<color=#FFFEC1>公爵</color>。						
mission.Pirates_Shedu_Escort1.after	The pirates sent us a valuable package as a reward for saving their man. The cargo is already on board Magnum.	Пираты отправили нам ценную посылку в награду за спасение своего человека. Груз уже на борту Магнума.	Die Piraten haben uns als Belohnung für die Rettung ihres Mannes ein wertvolles Paket geschickt. Die Fracht ist bereits an Bord der „Magnum“.	Les pirates nous ont envoyé un colis précieux en récompense pour avoir sauvé leur homme. La cargaison est déjà à bord du Magnum.	Los piratas nos enviaron un paquete valioso como recompensa por salvar a su hombre. La carga ya está a bordo del Magnum.	Piraci wysłali nam cenną paczkę jako nagrodę za uratowanie ich człowieka. Ładunek jest już na pokładzie „Magnum”.	Korsanlar, adamını kurtardığımız için bize değerli bir paket gönderdi. Kargo zaten Magnum'un içinde.	Os piratas nos enviaram um pacote valioso como recompensa por salvar o homem deles. A carga já está a bordo do Magnum.	해적들이 그들의 사람을 구해준 보상으로 우리에게 귀중한 패키지를 보냈습니다. 화물은 이미 마그넘에 실려 있습니다.	海賊たちは、彼らの人間を救ってくれたお礼として私たちに貴重な荷物を送ってくれました。荷物はすでにマグナム号に搭載されています。	海盗为答谢我们拯救其成员，已寄来珍贵包裹。货物确认抵达马格南号船舱。						
mission.Pirates_Shedu_Escort1.briefing	<color=#FFFEC1>Escort</color> the captain to the specified location at %STATION_NAME%. Move from level to level until you are safe. Exploring %STATION_NAME% is not included in the task list, but if you see something interesting, act according to the circumstances.	<color=#FFFEC1>Сопроводи</color> капитана в указанное место на станции %STATION_NAME%. Двигайтесь от уровня к уровню, пока вы не окажетесь в безопасности. Исследование станции %STATION_NAME% не входит в список задач, но, если увидишь что-то интересное, действуй по обстоятельствам.	<color=#FFFEC1>Begleite</color> den Kapitän zum angegebenen Ort auf der Station %STATION_NAME%. Bewege dich von Ebene zu Ebene, bis du in Sicherheit bist. Die Erkundung der Station %STATION_NAME% steht nicht auf der Aufgabenliste, aber wenn du etwas Interessantes siehst, handle nach den Umständen.	<color=#FFFEC1>Escorte</color> le capitaine à l'emplacement spécifié de la station %STATION_NAME%. Déplacez-vous de niveau en niveau jusqu'à ce que vous soyez en sécurité. L'exploration de %STATION_NAME% n'est pas incluse dans la liste des tâches, mais si vous voyez quelque chose d'intéressant, agissez en fonction des circonstances.	<color=#FFFEC1>Escolta</color> al capitán al lugar especificado en la estación %STATION_NAME%. Muévete de nivel en nivel hasta que estés a salvo. Explorar %STATION_NAME% no está incluido en la lista de tareas, pero si ves algo interesante, actúa según las circunstancias.	<color=#FFFEC1>Eskortuj</color> kapitana do wskazanego miejsca na stacji %STATION_NAME%. Przemierzaj poziomy, aż znajdziesz się w bezpieczeństwie. Eksploracja stacji %STATION_NAME% nie jest wymieniona na liście zadań, ale jeśli zobaczysz coś interesującego, działaj zgodnie z okolicznościami.	<color=#FFFEC1>Kaptanı</color> %STATION_NAME% istasyonundaki belirtilen yere eskort et. Güvende olana kadar seviyeden seviyeye hareket et. %STATION_NAME% istasyonunu keşfetmek görev listesinde yer almıyor, ancak ilginç bir şey görürsen, duruma göre hareket et.	<color=#FFFEC1>Escolte</color> o capitão para o local especificado na estação %STATION_NAME%. Mova-se de nível em nível até que esteja seguro. Explorar %STATION_NAME% não está incluído na lista de tarefas, mas se você ver algo interessante, aja de acordo com as circunstâncias.	<color=#FFFEC1>캡틴을</color> %STATION_NAME%역의 지정된 위치로 호위하세요. 안전해질 때까지 층별로 이동하세요. %STATION_NAME%역 탐사는 작업 목록에 포함되어 있지 않지만, 흥미로운 것을 발견하면 상황에 맞게 행동하세요.	<color=#FFFEC1>キャプテンを</color>ステーション%STATION_NAME%に指定された場所にエスコートしてください。 安全になるまでレベルからレベルへと移動してください。 ステーション%STATION_NAME%の探索はタスクリストに含まれていませんが、何か興味深いものを見た場合は、状況に応じて行動してください。	<color=#FFFEC1>护送</color>船长至 %STATION_NAME% 内的指定地点。你需逐层推进直至抵达安全区域。勘探 %STATION_NAME% 虽非任务要求，但若发现有趣的东西，可视情况自主行动。						
mission.Pirates_Shedu_Escort1.desc	<color=#FFFEC1>Task:</color> Escort the pirate captain to the safe location.	<color=#FFFEC1>Задача:</color> Довести пиратского капитана до безопасного места.	<color=#FFFEC1>Aufgabe:</color> Bringen Sie den Piratenkapitän zu einem sicheren Ort.	<color=#FFFEC1>Tâche :</color> Escortez le capitaine pirate jusqu'à un lieu sûr.	<color=#FFFEC1>Tarea:</color> Escolta al capitán pirata hasta un lugar seguro.	<color=#FFFEC1>Zadanie:</color> Eskortuj kapitana piratów do bezpiecznego miejsca.	<color=#FFFEC1>Görev:</color> Korsan kaptanını güvenli bir yere götür.	<color=#FFFEC1>Tarefa:</color> Escolte o capitão pirata até um local seguro.	<color=#FFFEC1>과제:</color> 해적 선장을 안전한 장소로 호위하세요.	<color=#FFFEC1>タスク:</color> 海賊の船長を安全な場所へ護送してください。	<color=#FFFEC1>任务:</color>护送海盗船长到安全地点。						
mission.Pirates_Shedu_Escort1.details	<color=#FFFEC1>Details:</color> At %STATION_NAME% one of the headquarters of the <color=#FFFEC1>Unchained Belt</color> is located. The pirate captain in command here has carried out several successful operations against the quasimorphs. And now %VICTIM_NAME% is going to attack the station. If we take on this urgent contract, we will need to <color=#FFFEC1>escort</color> the captain to the safe location.	<color=#FFFEC1>Подробно:</color> На станции %STATION_NAME% расположен один из штабов <color=#FFFEC1>Освобожденного Пояса</color>. Пиратский капитан, командующий здесь, провел несколько удачных операций против квазиморфов. И сейчас фракция %VICTIM_NAME% собирается атаковать станцию. Если возьмемся за этот срочный контракт, нужно будет <color=#FFFEC1>сопроводить</color> капитана до безопасного места.	<color=#FFFEC1>Details:</color> Auf der Station %STATION_NAME% befindet sich eines der Hauptquartiere des <color=#FFFEC1>Unchained Belt</color>. Der hier kommandierende Piratenkapitän hat mehrere erfolgreiche Operationen gegen die Quasimorphs durchgeführt. Und jetzt plant %VICTIM_NAME%, die Station anzugreifen. Wenn wir diesen dringenden Vertrag übernehmen, müssen wir den Kapitän an einen sicheren Ort <color=#FFFEC1>eskortieren</color>.	<color=#FFFEC1>Détails :</color> Dans la station %STATION_NAME% se trouve l'un des quartiers généraux de la <color=#FFFEC1>Ceinture Délivrée</color>. Le capitaine pirate commandant ici a mené plusieurs opérations réussies contre les quasimorphes. Et maintenant, %VICTIM_NAME% va attaquer la station. Si nous acceptons ce contrat urgent, nous devrons <color=#FFFEC1>escorter</color> le capitaine jusqu'à un lieu sûr.	<color=#FFFEC1>Detalles:</color> En la estación %STATION_NAME% se encuentra una de las sedes del <color=#FFFEC1>Cinturón Desencadenado</color>. El capitán pirata al mando aquí ha llevado a cabo varias operaciones exitosas contra los cuasimorfos. Y ahora %VICTIM_NAME% va a atacar la estación. Si asumimos este contrato urgente, necesitaremos <color=#FFFEC1>escoltar</color> al capitán a un lugar seguro.	<color=#FFFEC1>Szczegóły:</color> Na stacji %STATION_NAME% znajduje się jedna z kwater głównych <color=#FFFEC1>Wyzwolonego Pasa</color>. Piracki kapitan dowodzący tutaj przeprowadził kilka udanych operacji przeciwko quasimorfom. A teraz frakcja %VICTIM_NAME% zamierza zaatakować stację. Jeśli podejmiemy się tego pilnego kontraktu, będziemy musieli <color=#FFFEC1>eskorotwać</color> kapitana do bezpiecznego miejsca.	<color=#FFFEC1>Detaylar:</color> %STATION_NAME% istasyonunda <color=#FFFEC1>Zincirlerinden Kurtulmuş Kuşak</color>'ın karargahlarından biri bulunuyor. Burada komuta eden korsan kaptan, kuasimorflara karşı birkaç başarılı operasyon yürüttü. Ve şimdi %VICTIM_NAME% istasyona saldırmak üzere. Bu acil sözleşmeyi üstlenirsek, kaptanı güvenli bir yere <color=#FFFEC1>eskort etmemiz</color> gerekecek.	<color=#FFFEC1>Detalhes:</color> Na estação %STATION_NAME% está localizada uma das sedes do <color=#FFFEC1>Cinturão Liberto</color>. O capitão pirata no comando aqui realizou várias operações bem-sucedidas contra os quasimorfos. E agora %VICTIM_NAME% vai atacar a estação. Se assumirmos esse contrato urgente, precisaremos <color=#FFFEC1>escoltar</color> o capitão até um local seguro.	<color=#FFFEC1>세부 사항:</color> %STATION_NAME%역에는 <color=#FFFEC1>해방된 벨트</color>의 본부 중 하나가 위치하고 있습니다. 여기서 지휘하는 해적 선장은 쿼지모프에 대해 여러 번의 성공적인 작전을 수행했습니다. 그리고 지금 %VICTIM_NAME%이(가) 역을 공격할 예정입니다. 이 긴급 계약을 맡게 된다면, 선장을 안전한 장소까지 <color=#FFFEC1>호위</color>해야 합니다.	<color=#FFFEC1>詳細:</color> %STATION_NAME%ステーションには<color=#FFFEC1>解放されたベルト</color>の本部の一つがあります。ここで指揮を取る海賊キャプテンは、クアシモーフに対していくつかの成功した作戦を行ってきました。そして今、%VICTIM_NAME%がステーションを攻撃する予定です。この緊急契約を引き受けることになった場合、キャプテンを安全な場所まで<color=#FFFEC1>護衛</color>する必要があります。	<color=#FFFEC1>详情：</color>%STATION_NAME% 设有<color=#FFFEC1>不羁星环</color>的一个指挥总部。驻守此地的海盗船长曾多次成功突袭异变体，而今 %VICTIM_NAME% 正策划对该站的进攻。若接受这项紧急合约，需<color=#FFFEC1>护送</color>船长至安全区域。						
mission.Pirates_Shedu_Escort1.objective0	Another day, another mission against the quasimorphs. <color=#FFFEC1>Your task</color>: escort the pirate captain to safety.	Еще один день, еще одна миссия против квазиморфов. <color=#FFFEC1>Твоя цель</color>: доставить пиратского капитана в безопасное место.	Ein weiterer Tag, eine weitere Mission gegen die Quasimorphe. <color=#FFFEC1>Deine Aufgabe</color>: den Piratenkapitän an einen sicheren Ort bringen.	Un jour de plus, une mission de plus contre les quasimorphes. <color=#FFFEC1>Votre mission</color> : escorter le capitaine pirate en lieu sûr.	Otro día, otra misión contra los cuasimorfos. <color=#FFFEC1>Tu tarea</color>: escoltar al capitán pirata a un lugar seguro.	Kolejny dzień, kolejna misja przeciwko kwazimorfom. <color=#FFFEC1>Twoje zadanie</color>: dostarczyć kapitana piratów do bezpiecznego miejsca.	Bir gün daha, quasimorflara karşı bir görev daha. <color=#FFFEC1>Görevin</color>: korsan kaptanı güvenli bir yere götürmek.	Mais um dia, mais uma missão contra os quasimorfos. <color=#FFFEC1>Sua tarefa</color>: escoltar o capitão pirata até um local seguro.	또 다른 날, 콰지모프에 맞서는 또 다른 임무. <color=#FFFEC1>당신의 임무</color>: 해적 캡틴을 안전한 곳으로 호송하세요.	また一日、クアズモーフに対するもう一つのミッション。 <color=#FFFEC1>あなたの任務</color>：海賊船長を安全な場所にエスコートすること。	新的一天，新的任务，该去杀点异变体了。<color=#FFFEC1>你的任务</color>：护送海盗船长至安全区域。						
mission.Pirates_Shedu_Espionage1.after	The meeting with the pirate crew took place. They almost tried to bite this quasimorphic rock. Valuable cargo from them is on Magnum.	Встреча с пиратским экипажем состоялась. Они этот квазиморфный камень чуть ли не на зуб попробовали. Ценный груз от них в грузовом отсеке Магнума.	Das Treffen mit der Piratenmannschaft hat stattgefunden. Sie haben diesen quasimorphischen Stein fast zu beißen versucht. Wertvolle Ladung von ihnen befindet sich im Laderaum des „Magnum“.	La rencontre avec l'équipage pirate a eu lieu. Ils ont presque essayé de mordre cette roche quasimorphique. Le précieux chargement d'eux se trouve dans la soute du « Magnum ».	El encuentro con la tripulación pirata tuvo lugar. Casi intentaron morder esta roca cuasimórfica. La valiosa carga de ellos está en la bodega de carga del «Magnum».	Spotkanie z załogą piracką miało miejsce. Prawie próbowali ugryźć ten kwazimorficzny kamień. Cenny ładunek od nich znajduje się w ładowni „Magnum”.	Korsan mürettebatı ile buluşma gerçekleşti. Bu kuazimorfik taşı neredeyse ısırmaya çalıştılar. Değerli kargoları “Magnum”un kargo bölümünde.	O encontro com a tripulação pirata ocorreu. Eles quase tentaram morder esta rocha quasimórfica. Carga valiosa deles está no porão de carga do "Magnum".	해적 승무원과의 만남이 있었다. 그들은 이 준형성 암석을 거의 물어보려고 했다. 그들의 귀중한 화물은 '매그넘'의 화물칸에 있다.	海賊クルーとの会合が行われました。彼らはこのクアージモーフォーシス的な岩を噛み付こうとしました。彼らからの貴重な貨物はマグナムの貨物室にあります。	已与海盗船员完成交接。他们几乎把那块准形态结晶咬了个遍——作为交换的珍贵货物已经存放在马格南号货舱里。						
mission.Pirates_Shedu_Espionage1.briefing	The signature of the <color=#FFFEC1>igvalite</color> has been found, its location is marked on the map. We'll try to drop you off as close to the location as possible, but we can't promise anything: the shuttle pilot is already reporting strange visions.<br><br>Move through %STATION_NAME% carefully, save your strength. %VICTIM_NAME% will certainly defend the <color=#FFFEC1>igvalite</color> with special zeal.	Сигнатура <color=#FFFEC1>игвалита</color> найдена, его местоположение отмечено на карте. Постараемся выбросить тебя как можно ближе к месту, но ничего обещать не можем: пилот шаттла уже сообщает о странных видениях.<br><br>Продвигайся по станции %STATION_NAME% аккуратно, береги силы. Квазиморфы фракции %VICTIM_NAME% наверняка будут защищать <color=#FFFEC1>игвалит</color> с особым усердием.	Die Signatur des <color=#FFFEC1>Igvalits</color> wurde gefunden, seine Position ist auf der Karte markiert. Wir werden versuchen, dich so nah wie möglich am Ort abzusetzen, aber wir können nichts versprechen: Der Shuttle-Pilot berichtet bereits von seltsamen Visionen.<br><br>Bewege dich vorsichtig durch %STATION_NAME%, spare deine Kräfte. Die Quasimorphe der Fraktion %VICTIM_NAME% werden den <color=#FFFEC1>Igvalit</color> sicherlich mit besonderem Eifer verteidigen.	La signature de l'<color=#FFFEC1>igvalite</color> a été trouvée, sa localisation est marquée sur la carte. Nous essaierons de te déposer aussi près que possible de l'emplacement, mais nous ne pouvons rien promettre : le pilote de la navette signale déjà d'étranges visions.<br><br>Déplace-toi prudemment à travers %STATION_NAME%, économise tes forces. Les quasimorphes de la faction %VICTIM_NAME% défendront sûrement l'<color=#FFFEC1>igvalite</color> avec un zèle particulier.	La firma del <color=#FFFEC1>igvalite</color> ha sido encontrada, su ubicación está marcada en el mapa. Intentaremos dejarte lo más cerca posible de la ubicación, pero no podemos prometer nada: el piloto del transbordador ya está informando de visiones extrañas.<br><br>Avanza cuidadosamente a través de %STATION_NAME%, ahorra tus fuerzas. Los quasimorfos de la facción %VICTIM_NAME% ciertamente defenderán el <color=#FFFEC1>igvalite</color> con especial celo.	Sygnatura <color=#FFFEC1>igvalitu</color> została znaleziona, jej lokalizacja jest oznaczona na mapie. Postaramy się zrzucić cię jak najbliżej lokalizacji, ale niczego nie możemy obiecać: pilot promu już zgłasza dziwne wizje.<br><br>Poruszaj się ostrożnie przez %STATION_NAME%, oszczędzaj siły. Quasimorfy frakcji %VICTIM_NAME% z pewnością będą bronić <color=#FFFEC1>igvalitu</color> z szczególnym zapałem.	<color=#FFFEC1>igvalit</color> imzası bulundu, konumu haritada işaretlendi. Seni olabildiğince konuma yakın bir yere bırakmaya çalışacağız, ama bir şey vaat edemeyiz: mekik pilotu zaten tuhaf görüşler bildiriyor.<br><br>%STATION_NAME% içinde dikkatli bir şekilde ilerle, gücünü koru. %VICTIM_NAME% fraksiyonunun kvasimorfları <color=#FFFEC1>igvalit</color>'i özel bir gayretle savunacaklardır.	A assinatura do <color=#FFFEC1>igvalite</color> foi encontrada, sua localização está marcada no mapa. Tentaremos te deixar o mais próximo possível do local, mas não podemos prometer nada: o piloto do shuttle já está relatando visões estranhas.<br><br>Mova-se cuidadosamente através de %STATION_NAME%, economize suas forças. Os quasimorfos da facção %VICTIM_NAME% certamente defenderão o <color=#FFFEC1>igvalite</color> com um zelo especial.	<color=#FFFEC1>이그발리트</color>의 신호가 발견되었으며, 그 위치는 지도에 표시되어 있습니다. 가능한 한 위치에 가까운 곳에 당신을 내려놓으려고 하겠지만, 아무것도 약속할 수는 없습니다: 이미 셔틀 파일럿이 이상한 시각을 보고하고 있습니다.<br><br>%STATION_NAME%을 조심스럽게 이동하며, 힘을 아끼세요. %VICTIM_NAME%의 콰지모프들이 <color=#FFFEC1>이그발리트</color>를 특별한 열정으로 방어할 것입니다.	<color=#FFFEC1>イグバリット</color>のシグネチャーが見つかりました、その場所は地図にマークされています。できるだけその場所に近くであなたを降ろすことを試みますが、何も約束できません: すでにシャトルのパイロットは奇妙な幻覚を報告しています。<br><br>%STATION_NAME%を慎重に進んで、力を温存してください。%VICTIM_NAME%のクァジモーフたちは、<color=#FFFEC1>イグバリット</color>を特別な熱意をもって守るでしょう。	已发现<color=#FFFEC1>伊格瓦晶体</color>的能量特征，其位置已标注在你的地图上。我们会尽量将你投送至最近地点，但无法作出保证：穿梭机驾驶员报告出现了诡异幻象。<br><br>请谨慎地探索 %STATION_NAME%，保存体力。%VICTIM_NAME% 必定会以异常狂热的态度守护<color=#FFFEC1>伊格瓦晶体</color>。						
mission.Pirates_Shedu_Espionage1.desc	<color=#FFFEC1>Task:</color> Pick up the <color=#FFFEC1>igvalite</color> at %STATION_NAME% and evacuate with it.	<color=#FFFEC1>Задача:</color> Забрать на станции %STATION_NAME% <color=#FFFEC1>игвалит</color>, эвакуироваться с ним.	<color=#FFFEC1>Aufgabe:</color> Nehme den <color=#FFFEC1>igvalite</color> bei der Station %STATION_NAME% auf und evakuiere damit.	<color=#FFFEC1>Tâche:</color> Récupérer l'<color=#FFFEC1>igvalite</color> à %STATION_NAME% et évacuer avec.	<color=#FFFEC1>Tarea:</color> Recoger el <color=#FFFEC1>igvalite</color> en %STATION_NAME% y evacuar con él.	<color=#FFFEC1>Zadanie:</color> Odbierz <color=#FFFEC1>igvalite</color> na stacji %STATION_NAME% i ewakuuj się z nim.	<color=#FFFEC1>Görev:</color> %STATION_NAME% istasyonundan <color=#FFFEC1>igvalite</color> al ve onunla tahliye ol.	<color=#FFFEC1>Tarefa:</color> Pegar o <color=#FFFEC1>igvalite</color> na estação %STATION_NAME% e evacuar com ele.	<color=#FFFEC1>임무:</color> %STATION_NAME%에서 <color=#FFFEC1>igvalite</color>을(를) 획득하고 그것을 가지고 대피하십시오.	<color=#FFFEC1>タスク:</color> ステーション%STATION_NAME%で<color=#FFFEC1>イグヴァライト</color>を回収し、それを持って避難する。	<color=#FFFEC1>任务：</color>夺取 %STATION_NAME% 的<color=#FFFEC1>伊格瓦晶体</color>并携其撤离。						
mission.Pirates_Shedu_Espionage1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Unchained Belt</color> is planning operations related to %STATION_NAME%. Despite the suppression of information by the <color=#FFFEC1>Hexarchy</color>, it is known that this place is in the hands of %VICTIM_NAME%. The pirates discovered something interesting there.<br><br>They caught the signature of an <color=#FFFEC1>igvalite</color> - a quasimorphic artifact capable of accumulating gavvakh. It appears that the quasimorphs use this location to store energy. There is work for us. The pirate liaison offers to infiltrate %STATION_NAME% and <color=#FFFEC1>pick up the igvalite</color>.	<color=#FFFEC1>Подробно:</color> <color=#FFFEC1>Освобожденный Пояс</color> планирует операции, связанные со станцией %STATION_NAME%. Несмотря на замалчивание информации <color=#FFFEC1>Гексархией</color>, известно, что это место находится в руках квазиморфной фракции %VICTIM_NAME%. Пираты обнаружили там кое-что интересное.<br><br>Они уловили сигнатуру <color=#FFFEC1>игвалита</color> — квазиморфного артефакта, способного накапливать гаввах. Похоже, квазиморфы используют это место для хранения энергии. Для нас есть работа. Пиратский связной предлагает проникнуть на станцию %STATION_NAME% и <color=#FFFEC1>забрать игвалит</color>.	<color=#FFFEC1>Details:</color> Der <color=#FFFEC1>Ungekettete Gürtel</color> plant Operationen in Verbindung mit %STATION_NAME%. Trotz der Unterdrückung von Informationen durch die <color=#FFFEC1>Hexarchie</color> ist bekannt, dass dieser Ort in den Händen der quasimorphischen Fraktion %VICTIM_NAME% ist. Die Piraten haben dort etwas Interessantes entdeckt.<br><br>Sie haben die Signatur eines <color=#FFFEC1>Igvaliten</color> erfasst - eines quasimorphischen Artefakts, das in der Lage ist, Gavvakh zu sammeln. Es scheint, dass die Quasimorphen diesen Ort zur Energiespeicherung nutzen. Es gibt Arbeit für uns. Der Piratenkontakt bietet an, %STATION_NAME% zu infiltrieren und den <color=#FFFEC1>Igvaliten</color> zu entnehmen.	<color=#FFFEC1>Détails:</color> La <color=#FFFEC1>Ceinture Délivrée</color> planifie des opérations liées à %STATION_NAME%. Malgré la répression des informations par l'<color=#FFFEC1>Hexarchie</color>, il est connu que cet endroit est entre les mains de la faction quasimorphique %VICTIM_NAME%. Les pirates ont découvert quelque chose d'intéressant là-bas.<br><br>Ils ont capté la signature d'un <color=#FFFEC1>igvalite</color> - un artefact quasimorphique capable d'accumuler du gavvakh. Il semble que les quasimorphes utilisent cet emplacement pour stocker de l'énergie. Il y a du travail pour nous. Le lien pirate propose d'infiltrer %STATION_NAME% et de <color=#FFFEC1>récupérer l'igvalite</color>.	<color=#FFFEC1>Detalles:</color> El <color=#FFFEC1>Cinturón Desencadenado</color> está planeando operaciones relacionadas con %STATION_NAME%. A pesar de la supresión de información por parte de la <color=#FFFEC1>Hexarquía</color>, se sabe que este lugar está en manos de la facción quasimórfica %VICTIM_NAME%. Los piratas descubrieron algo interesante allí.<br><br>Capturaron la firma de un <color=#FFFEC1>igvalite</color> - un artefacto quasimórfico capaz de acumular gavvakh. Parece que los quasimorfos utilizan esta ubicación para almacenar energía. Hay trabajo para nosotros. El enlace pirata ofrece infiltrarse en %STATION_NAME% y <color=#FFFEC1>recoger el igvalite</color>.	<color=#FFFEC1>Szczegóły:</color> <color=#FFFEC1>Nieokiełznany Pas</color> planuje operacje związane ze stacją %STATION_NAME%. Pomimo tłumienia informacji przez <color=#FFFEC1>Heksarchię</color>, wiadomo, że to miejsce jest w rękach frakcji quasimorficznej %VICTIM_NAME%. Piraci odkryli tam coś interesującego.<br><br>Dostrzegli sygnaturę <color=#FFFEC1>igvalitu</color> - artefaktu quasimorficznego zdolnego do gromadzenia gavvakha. Wygląda na to, że quasimorfy używają tego miejsca do magazynowania energii. Jest dla nas praca. Kontakt piracki oferuje infiltrację stacji %STATION_NAME% i <color=#FFFEC1>zebranie igvalitu</color>.	<color=#FFFEC1>Detaylar:</color> <color=#FFFEC1>Serbest Kemer</color>, %STATION_NAME% ile ilgili operasyonlar planlıyor. <color=#FFFEC1>Hexarşi</color> tarafından bilgi bastırılmasına rağmen, bu yerin %VICTIM_NAME% tarafından ele geçirildiği biliniyor. Korsanlar orada ilginç bir şey keşfettiler.<br><br>Bir <color=#FFFEC1>igvalite</color> imzası yakaladılar - gavvakh biriktirebilen kısmi şekillendirme artefaktı. Kısmi şekillendirmelerin bu yeri enerji depolamak için kullandığı anlaşılıyor. Bizim için iş var. Korsan temsilcisi, %STATION_NAME% 'e sızmayı ve <color=#FFFEC1>igvalite'yi almayı</color> teklif ediyor.	<color=#FFFEC1>Detalhes:</color> O <color=#FFFEC1>Cinturão Desacorrentado</color> está planejando operações relacionadas com %STATION_NAME%. Apesar da supressão de informações pela <color=#FFFEC1>Hexarquia</color>, sabe-se que este local está nas mãos de %VICTIM_NAME%. Os piratas descobriram algo interessante por lá.<br><br>Eles capturaram a assinatura de um <color=#FFFEC1>igvalite</color> - um artefato quasimórfico capaz de acumular gavvakh. Parece que os quasimorfos usam este local para armazenar energia. Há trabalho para nós. O contato pirata oferece para se infiltrar na %STATION_NAME% e <color=#FFFEC1>pegar o igvalite</color>.	<color=#FFFEC1>상세 정보:</color> <color=#FFFEC1>해방된 벨트</color>는 %STATION_NAME%와 관련된 작전을 계획하고 있습니다. <color=#FFFEC1>헥사키</color>에 의한 정보 억제에도 불구하고, 이 장소가 %VICTIM_NAME%의 쿼지모픽 그룹 손에 있음을 알려져 있습니다. 해적들은 거기서 흥미로운 것을 발견했습니다.<br><br>그들은 <color=#FFFEC1>이그발라이트</color> - 가바크를 축적할 수 있는 쿼지모픽 유물의 시그니처를 포착했습니다. 쿼지모픽들이 이 위치를 에너지 저장소로 사용하는 것으로 보입니다. 우리에게 일이 있습니다. 해적 연계자가 %STATION_NAME%에 잠입하여 <color=#FFFEC1>이그발라이트를 취득하는 것</color>을 제안합니다.	<color=#FFFEC1>詳細：</color><color=#FFFEC1>アンチェインドベルト</color>は%STATION_NAME%に関連する作戦を計画しています。情報抑制の<color=#FFFEC1>ヘキサーキー</color>にもかかわらず、この場所が%VICTIM_NAME%のクアージモーフィック派閥の手にあることが知られています。海賊たちはそこで興味深いものを発見しました。<br><br>彼らは<color=#FFFEC1>イグバリット</color>の署名を捉えました - ガヴヴァクを蓄積する能力を持つクアージモーフィックのアーティファクトです。クアージモーフたちはこの場所をエネルギーを蓄えるために使用しているようです。私たちには仕事があります。海賊の連絡員は%STATION_NAME%に潜入し、<color=#FFFEC1>イグバリットを回収する</color>ことを提案しています。	<color=#FFFEC1>详情：</color> <color=#FFFEC1>不羁星环</color>正在策划针对 %STATION_NAME% 的行动。尽管<color=#FFFEC1>六方盟</color>刻意封锁消息，仍可确认该站现处于 %VICTIM_NAME% 控制下。海盗在此发现了有趣的东西——<br><br>他们探测到了<color=#FFFEC1>伊格瓦晶体</color>的能量特征，这种能储存加瓦克的准形态造物，被准形态用作能量仓库。现在我们有了新差事：海盗联络人提议潜入 %STATION_NAME% <color=#FFFEC1>夺取伊格瓦晶体</color>。						
